,0,domain
0,*://*.2giga.link/*,2giga.link
2,*://*.ad-miner.com/lib/*,ad-miner.com
3,*://*.afminer.com/code/*,afminer.com
4,*://*.analytics.blue/*,analytics.blue
5,*://*.authedmine.com/**,authedmine.com
6,*://*.coin-have.com/*,coin-have.com
8,*://*.coin-hive.com/*,coin-hive.com
9,*://*.coinblind.com/**.js*,coinblind.com
11,*://*.coinerra.com/*,coinerra.com
13,*://*.coinhive.com/*,coinhive.com
14,*://*.coinlab.biz/lib/coinlab.js*,coinlab.biz
15,*://*.coinnebula.com/lib/*,coinnebula.com
16,*://*.cookiescript.info/libs/*,cookiescript.info
17,*://*.crypto-loot.com/*,crypto-loot.com
18,*://*.cryptobara.com/*,cryptobara.com
19,*://*.goredirect.party/*,goredirect.party
21,*://*.hashto.cash/*,hashto.cash
22,*://*.host.d-ns.ga/*,host.d-ns.ga
23,*://*.joyreactor.cc/ws/ch/*,joyreactor.cc
24,*://*.jsecoin.com/*,jsecoin.com
26,*://*.jyhfuqoh.info/*,jyhfuqoh.info
27,*://*.kissdoujin.com/Content/js/c-hive.js*,kissdoujin.com
28,*://*.kisshentai.net/*,kisshentai.net
29,*://*.kiwifarms.net/js/Jawsh/xmr/xmr.min.js*,kiwifarms.net
30,*://*.listat.biz/*,listat.biz
31,*://*.lmodr.biz/*,lmodr.biz
32,*://*.load.jsecoin.com/*,load.jsecoin.com
33,*://*.mataharirama.xyz/*,mataharirama.xyz
34,*://*.minecrunch.co/*,minecrunch.co
35,*://*.minemytraffic.com/*,minemytraffic.com
36,*://*.minerclaim.net/*,minerclaim.net
37,*://*.minero.pw/**.js*,minero.pw
39,*://*.monerominer.rocks/miner.php*,monerominer.rocks
41,*://*.morningdigit.com/*,morningdigit.com
42,*://*.papoto.com/lib/*,papoto.com
43,*://*.ppoi.org/*,ppoi.org
46,*://*.reasedoper.pw/*,reasedoper.pw
47,*://*.rocks.io/assets/*,rocks.io
49,*://*.server.jsecoin.com/*,server.jsecoin.com
50,*://*.supportxmr.com/*,supportxmr.com
51,*://*.webmine.cz/**.js*,webmine.cz
71,*://185.14.28.10/,185.14.28.10
72,*://185.209.23.219/,185.209.23.219
73,*://46.101.27.220/*,46.101.27.220
75,*://adbtc.top/*,adbtc.top
76,*://anime.reactor.cc/js/ch/cryptonight.wasm*,anime.reactor.cc
77,*://aqqgli3vle.bid/*,aqqgli3vle.bid
79,*://avualrhg9p0.bid/*,avualrhg9p0.bid
80,*://baiduccdn1.com/*,baiduccdn1.com
82,*://biberukalap.com/*,biberukalap.com
83,*://bizoninvest.com/**.js*,bizoninvest.com
84,*://c0i8h8ac7e.bid/*,c0i8h8ac7e.bid
85,*://cdn.cloudcoins.co/javascript/cloudcoins.min.js*,cdn.cloudcoins.co
86,*://cieh.mx/,cieh.mx
87,*://cloudcoins.co/javascript/*,cloudcoins.co
99,*://coinhive-manager.com/ch-manager.js*,coinhive-manager.com
103,*://coinimp.com/scripts/*,coinimp.com
108,*://cookiescriptcdn.pro/libs/*,cookiescriptcdn.pro
110,*://cryptoloot.pro/*,cryptoloot.pro
112,*://cryptonight.wasm/*,cryptonight.wasm
113,*://d-ns.ga/,d-ns.ga
114,*://d3ahinqqx1dy5v.cloudfront.net/*,d3ahinqqx1dy5v.cloudfront.net
115,*://d3iz6lralvg77g.cloudfront.net/,d3iz6lralvg77g.cloudfront.net
116,*://digger.cryptobara.com/client/*,digger.cryptobara.com
117,*://edgeno.de/*,edgeno.de
118,*://fge9vbrzwt.bid/*,fge9vbrzwt.bid
119,*://hashforcash.us/*,hashforcash.us
120,*://hatevery.info/,hatevery.info
121,*://hk.rs/,hk.rs
122,*://iload.jsecoin.com/*,iload.jsecoin.com
123,*://inwemo.com/inwemo.min.js*,inwemo.com
125,*://jsccnn.com/*,jsccnn.com
127,*://jscdndel.com/*,jscdndel.com
131,*://kickass.cd/m.js*,kickass.cd
135,*://kjli.fi/,kjli.fi
140,*://mine.nahnoji.cz/*,mine.nahnoji.cz
141,*://mine.torrent.pw/*,mine.torrent.pw
145,*://miner.cryptobara.com/client/*,miner.cryptobara.com
146,*://miner.pr0gramm.com/*,miner.pr0gramm.com
151,*://minr.pw/inject,minr.pw
155,*://n/*ad-miner.com,n
156,*://nullrefexcep.com/,nullrefexcep.com
158,*://party-nngvitbizn.now.sh/*,party-nngvitbizn.now.sh
159,*://pema.cl/,pema.cl
165,*://ron.si/,ron.si
166,*://rove.cl/,rove.cl
168,*://socketminer.com/*,socketminer.com
169,*://static.reasedoper.pw/*,static.reasedoper.pw
170,*://thepiratebay.cr/m.js*,thepiratebay.cr
171,*://todogecoin.biz/**.js*,todogecoin.biz
172,*://vcfs6ip5h6.bid/*,vcfs6ip5h6.bid
173,*://vg02h8z1ul.me/*,vg02h8z1ul.me
179,https://chuchete.com/processor.js,chuchete.com